skin_color;age;sex;complement;death_type;city;neighborhood;date;hour
Parda;20.0;Masculino;Homicídio;PAF;Arapiraca;Planalto;01/01/2016;01
Parda;25.0;Masculino;Homicídio;PAF;Rio Largo;Tabuleiro do Pinto;01/01/2016;04
Parda;32.0;Masculino;Homicídio;PAF;Maceió;Tabuleiro do Martins;01/01/2016;04
Parda;35.0;Masculino;Homicídio;PAF;Maceió;Chã de Bebedouro;01/01/2016;11
Branca;21.0;Masculino;Homicídio;PAF;Santana do Ipanema;Centro;01/01/2016;20
Branca;19.0;Feminino;Feminicídio;PAF;Santana do Ipanema;Centro;01/01/2016;20
Parda;37.0;Masculino;Homicídio;PAF;Maceió;Vergel do Lago;02/01/2016;00
Parda;51.0;Feminino;Homicídio;BRANCA;Porto Calvo;Centro;02/01/2016;19
Parda;15.0;Masculino;Homicídio;PAF;Coruripe;Centro;03/01/2016;16
Parda;17.0;Feminino;Homicídio;PAF;Coruripe;Zona Rural;03/01/2016;18
Parda;47.0;Masculino;Homicídio;PAF;União dos Palmares;Centro;03/01/2016;20
Parda;63.0;Masculino;Homicídio;BRANCA;São Miguel dos Campos;Centro;03/01/2016;20
Parda;19.0;Masculino;Homicídio;PAF;Arapiraca;Olho d Água dos Cazuzinhos;03/01/2016;21
Parda;38.0;Feminino;Homicídio;BRANCA;Matriz de Camaragibe;Centro;04/01/2016;03
Parda;57.0;Masculino;Homicídio;PAF;União dos Palmares;Zona Rural;04/01/2016;09
Parda;17.0;Masculino;Homicídio;PAF;Maceió;Benedito Bentes;04/01/2016;21
Parda;24.0;Feminino;Homicídio;PAF;Ibateguara;Centro;04/01/2016;23
Parda;20.0;Feminino;Homicídio;PAF;Ibateguara;Centro;04/01/2016;23
Parda;25.0;Masculino;Homicídio;PAF/B;Maceió;Fernão Velho;05/01/2016;11
Parda;25.0;Masculino;Roubo com Resultado Morte;PAF;São José da Tapera;Zona Rural;05/01/2016;13
Parda;15.0;Masculino;Homicídio;PAF;Maceió;Ipioca;05/01/2016;19
Parda;20.0;Masculino;Homicídio;BRANCA;Arapiraca;Povoado Baixa da Onça;05/01/2016;20
Parda;35.0;Masculino;Homicídio;PAF;Marechal Deodoro;Barra Nova;05/01/2016;22
Parda;26.0;Masculino;Homicídio;PAF;Pão de Açúcar;Centro;05/01/2016;23
Parda;16.0;Masculino;Homicídio;PAF;Maravilha;Centro;06/01/2016;14
Branca;23.0;Masculino;Homicídio;PAF;Campo Grande;Centro;06/01/2016;22
Preta;20.0;Masculino;Homicídio;PAF/B;Maceió;Riacho Doce;07/01/2016;16
Parda;28.0;Masculino;Homicídio;PAF;Junqueiro;Centro;07/01/2016;17
Parda;70.0;Masculino;Homicídio;PAF;Maceió;Jacarecica;07/01/2016;19
Branca;41.0;Masculino;Homicídio;PAF;Penedo;Zona Rural;08/01/2016;06
